styleID,ystyleID
2513,3324
2040,3327
4311,3346
2790,3352
2783,3353
2898,3357
2987,3360
977,3363
6553,3365
5537,3368
6883,3369
3116,3372
1006,3374
2334,3376
8320,3378
3751,3380
978,3385
1112,3388
6660,3392
2076,3399
2021,3401
4930,3402
1708,3403
2085,3404
4291,3410
1734,3416
2475,3417
2477,3418
1982,3419
1151,3420
2810,3425
2811,3432
2812,3433
7496,3434
611,3435
1124,3460
2598,3467
3532,3469
3529,3471
6362,3491
2208,3494
411,3495
419,3496
2721,3500
2722,3501
1226,3504
4687,3512
615,3520
975,3521
1323,3553
1302,3554
1324,3555
6843,3559
2203,3622
2190,3626
5418,3642
2492,3653
2237,3655
1295,3658
3162,3660
2153,3668
2789,3669
2510,3670
2581,3671
3209,3673
2381,3675
2382,3676
3228,3677
2380,3678
2493,3685
2026,3694
3300,3714
423,3721
3301,3728
1781,3735
1780,3736
3303,3742
3302,3743
1932,3762
1104,3771
1098,3772
1046,3799
1727,3810
1726,3811
3196,3812
3634,3863
3515,3864
2406,3866
4346,3867
2482,3882
2483,3883
3671,3914
3607,3943
3608,3944
3609,3945
1068,3948
580,3950
2348,3951
2349,3952
3160,3956
4431,3957
3357,3982
3361,3983
1987,3985
2552,3986
3111,4020
2725,4021
13246,4054
13242,4114
3474,4142
3475,4143
3476,4144
1000375,4220
1000724,4284
3036,4298
3037,4299
3038,4300
1675,4301
3039,4302
3040,4303
1000704,4339
1000690,4340
1000707,4345
1000685,4346
4200,4392
5003,4393
1545,4394
3494,4395
4954,4404
4951,4405
4957,4406
4956,4407
3491,4412
2907,4434
2909,4436
3015,4460
3548,4461
3465,4479
3545,4520
3546,4521
2795,4527
3411,4528
2797,4529
4312,4540
8324,4547
2945,4549
3102,4577
3101,4579
3100,4580
3099,4581
3098,4583
2780,4584
2315,4586
2134,4592
2018,4593
2132,4595
2020,4597
4424,4616
4423,4617
4420,4618
4419,4619
2434,4620
3022,4621
5682,4626
3448,4628
2975,4629
3449,4630
2976,4631
3553,4651
3554,4652
3555,4653
3541,4654
3542,4655
3543,4656
4268,4663
3598,4668
3597,4669
3596,4670
3599,4672
3585,4673
3582,4695
3140,4709
6661,4710
3141,4711
1677,4712
1678,4713
1679,4714
1680,4715
4932,4716
3533,4719
3530,4720
3531,4721
3495,4722
3496,4723
3497,4724
3678,4733
3572,4734
3574,4736
3576,4738
3577,4753
5820,4784
4433,4792
1043,4794
2395,4807
2400,4808
3166,4819
3167,4820
2753,4822
2754,4823
2056,4824
2055,4825
322,4832
3688,4840
3689,4841
3690,4842
3691,4843
3692,4845
3693,4846
2924,4868
2549,4876
1685,4877
1686,4878
2157,4928
3679,4929
1443,4979
1444,4980
1445,4981
5683,5000
1000703,5012
2944,5030
3787,5055
3738,5057
3767,5060
3700,5061
4186,5073
3739,5080
2693,5081
3794,5082
3730,5085
3731,5088
3732,5092
3573,5122
3789,5124
3936,5136
1383,5137
1857,5138
4077,5150
4078,5151
3017,5152
4076,5153
4909,5154
4266,5163
5061,5169
5509,5170
4020,5178
4434,5181
3021,5211
3129,5212
3366,5215
4158,5216
4114,5226
4295,5231
13239,5269
3240,5276
4669,5326
4670,5329
4259,5347
1283,5348
2310,5353
1000705,5356
3790,5368
1000645,5404
1000643,5406
1000640,5407
1000642,5408
1000641,5409
1000530,5410
1000529,5413
1000648,5417
1000646,5419
1000647,5420
6750,5511
3928,5517
3919,5518
2946,5553
4213,5564
4214,5565
4215,5566
4208,5567
2589,5568
4211,5570
4212,5571
3990,5573
3920,5574
3991,5575
3992,5576
3921,5577
3993,5578
3795,5591
3806,5592
3161,5610
1000713,5665
3635,5669
2470,5677
1150,5679
2471,5680
2472,5681
1733,5682
2473,5683
2474,5684
1981,5685
481,5686
416,5687
2478,5688
2476,5689
1774,5690
1983,5691
473,5692
480,5693
5821,5694
5822,5695
4185,5697
2392,5698
2479,5700
5627,5705
2105,5706
2107,5709
4321,5720
3785,5722
5202,5723
3768,5726
3770,5727
3769,5730
3771,5731
2182,5739
1583,5755
4075,5757
4056,5759
4055,5760
4060,5761
4947,5762
4006,5767
4007,5769
4008,5770
4009,5771
4074,5779
4062,5785
4063,5787
4064,5789
3890,5791
4094,5792
4122,5798
4124,5801
5201,5810
5790,5824
3020,5826
