mainBrandID,mainBrandName,nation,nationid
34,阿尔法·罗密欧,意大利,39
33,奥迪,德国,49
32,东风,中国,86
27,北京,中国,86
26,奇瑞,中国,86
25,吉利汽车,中国,86
24,哈飞,中国,86
22,中华,中国,86
20,名爵,中国,86
19,荣威,中国,86
15,宝马,德国,49
14,本田,日本,81
13,标致,法国,33
12,现代,韩国,82
11,菲亚特,意大利,39
10,雷诺,法国,33
9,克莱斯勒,美国,1
8,福特,美国,1
3,丰田,日本,81
1,大众,德国,49
