provinceID,province,cityID,city,areaID,area,cityLevelID,cityLevel
18,内蒙古,1824,巴彦淖尔,2,华北,4,四线城市
18,内蒙古,1825,乌兰察布,2,华北,4,四线城市
18,内蒙古,1829,锡林郭勒,2,华北,4,四线城市
18,内蒙古,1829,锡林郭勒盟,2,华北,4,四线城市
18,内蒙古,1830,阿拉善,2,华北,5,五线城市
18,内蒙古,1830,阿拉善盟,2,华北,5,五线城市
19,宁夏,1901,银川,6,西北,3,三线城市
19,宁夏,1902,吴忠,6,西北,5,五线城市
19,宁夏,1903,固原,6,西北,5,五线城市
19,宁夏,1905,石嘴山,6,西北,5,五线城市
19,宁夏,1907,中卫,6,西北,5,五线城市
20,青海,2001,西宁,6,西北,3,三线城市
20,青海,2023,海北,6,西北,5,五线城市
20,青海,2027,海西,6,西北,5,五线城市
20,青海,2030,海南,6,西北,5,五线城市
21,山东,2101,济南,3,华东,2,二线城市
21,山东,2102,青岛,3,华东,2,二线城市
21,山东,2103,烟台,3,华东,3,三线城市
21,山东,2104,威海,3,华东,3,三线城市
21,山东,2105,潍坊,3,华东,2,二线城市
21,山东,2106,泰安,3,华东,3,三线城市
21,山东,2107,枣庄,3,华东,4,四线城市
21,山东,2109,淄博,3,华东,3,三线城市
21,山东,2110,东营,3,华东,3,三线城市
21,山东,2112,菏泽,3,华东,3,三线城市
21,山东,2113,滨州,3,华东,3,三线城市
21,山东,2114,聊城,3,华东,3,三线城市
21,山东,2117,临沂,3,华东,2,二线城市
21,山东,2118,济宁,3,华东,3,三线城市
21,山东,2120,日照,3,华东,3,三线城市
21,山东,2132,莱芜,3,华东,4,四线城市
22,山西,2201,太原,2,华北,2,二线城市
22,山西,2202,大同,2,华北,3,三线城市
22,山西,2203,晋城,2,华北,4,四线城市
22,山西,2204,晋中,2,华北,3,三线城市
22,山西,2205,临汾,2,华北,3,三线城市
22,山西,2206,长治,2,华北,3,三线城市
22,山西,2207,运城,2,华北,3,三线城市
22,山西,2210,忻州,2,华北,4,四线城市
22,山西,2218,阳泉,2,华北,4,四线城市
22,山西,2219,朔州,2,华北,4,四线城市
22,山西,2227,吕梁,2,华北,4,四线城市
23,陕西,2301,西安,6,西北,2,二线城市
23,陕西,2302,咸阳,6,西北,4,四线城市
23,陕西,2303,渭南,6,西北,4,四线城市
23,陕西,2304,榆林,6,西北,3,三线城市
23,陕西,2305,宝鸡,6,西北,4,四线城市
23,陕西,2306,安康,6,西北,5,五线城市
23,陕西,2307,汉中,6,西北,4,四线城市
23,陕西,2308,延安,6,西北,4,四线城市
23,陕西,2310,铜川,6,西北,5,五线城市
23,陕西,2313,商洛,6,西北,5,五线城市
24,上海,2401,上海,3,华东,1,一线城市
25,四川,2501,成都,7,西南,1,一线城市
25,四川,2502,绵阳,7,西南,4,四线城市
25,四川,2503,遂宁,7,西南,5,五线城市
25,四川,2504,攀枝花,7,西南,5,五线城市
25,四川,2506,宜宾,7,西南,4,四线城市
25,四川,2507,雅安,7,西南,5,五线城市
25,四川,2508,自贡,7,西南,5,五线城市
25,四川,2509,资阳,7,西南,5,五线城市
25,四川,2510,广元,7,西南,5,五线城市
25,四川,2511,德阳,7,西南,4,四线城市
25,四川,2512,乐山,7,西南,4,四线城市
25,四川,2513,南充,7,西南,4,四线城市
25,四川,2514,眉山,7,西南,4,四线城市
25,四川,2516,巴中,7,西南,5,五线城市
25,四川,2517,泸州,7,西南,4,四线城市
25,四川,2519,内江,7,西南,5,五线城市
25,四川,2530,广安,7,西南,5,五线城市
25,四川,2532,达州,7,西南,5,五线城市
25,四川,2535,阿坝,7,西南,5,五线城市
25,四川,2536,甘孜,7,西南,5,五线城市
25,四川,2537,凉山,7,西南,5,五线城市
26,天津,2601,天津,2,华北,1,一线城市
27,西藏,2701,拉萨,7,西南,5,五线城市
27,西藏,2705,那曲,7,西南,5,五线城市
27,西藏,2710,林芝,7,西南,5,五线城市
28,新疆,2801,乌鲁木齐,6,西北,3,三线城市
28,新疆,2801,米泉,6,西北,3,三线城市
28,新疆,2803,克拉玛依,6,西北,5,五线城市
28,新疆,2821,博尔塔拉,6,西北,5,五线城市
28,新疆,2822,巴音郭楞,6,西北,5,五线城市
28,新疆,2823,伊犁,6,西北,4,四线城市
28,新疆,2828,喀什,6,西北,5,五线城市
