provinceID,province,cigCityID,cigCityName,adcode,adname
21,山东,2105,潍坊,370700,潍坊市
21,山东,2106,泰安,370900,泰安市
21,山东,2107,枣庄,370400,枣庄市
21,山东,2109,淄博,370300,淄博市
21,山东,2110,东营,370500,东营市
21,山东,2112,菏泽,371700,菏泽市
21,山东,2113,滨州,371600,滨州市
21,山东,2114,聊城,371500,聊城市
21,山东,2117,临沂,371300,临沂市
21,山东,2118,济宁,370800,济宁市
21,山东,2120,日照,371100,日照市
21,山东,2132,莱芜,371200,莱芜市
22,山西,2201,太原,140100,太原市
22,山西,2202,大同,140200,大同市
22,山西,2203,晋城,140500,晋城市
22,山西,2204,晋中,140700,晋中市
22,山西,2205,临汾,141000,临汾市
22,山西,2206,长治,140400,长治市
22,山西,2207,运城,140800,运城市
22,山西,2210,忻州,140900,忻州市
22,山西,2218,阳泉,140300,阳泉市
22,山西,2219,朔州,140600,朔州市
22,山西,2227,吕梁,141100,吕梁市
23,陕西,2301,西安,610100,西安市
23,陕西,2302,咸阳,610400,咸阳市
23,陕西,2303,渭南,610500,渭南市
23,陕西,2304,榆林,610800,榆林市
23,陕西,2305,宝鸡,610300,宝鸡市
23,陕西,2306,安康,610900,安康市
23,陕西,2307,汉中,610700,汉中市
23,陕西,2308,延安,610600,延安市
23,陕西,2310,铜川,610200,铜川市
23,陕西,2313,商洛,611000,商洛市
24,上海,2401,上海,310000,上海市
25,四川,2501,成都,510100,成都市
25,四川,2502,绵阳,510700,绵阳市
25,四川,2503,遂宁,510900,遂宁市
25,四川,2504,攀枝花,510400,攀枝花市
25,四川,2506,宜宾,511500,宜宾市
25,四川,2507,雅安,511800,雅安市
25,四川,2508,自贡,510300,自贡市
25,四川,2509,资阳,512000,资阳市
25,四川,2510,广元,510800,广元市
25,四川,2511,德阳,510600,德阳市
25,四川,2512,乐山,511100,乐山市
25,四川,2513,南充,511300,南充市
25,四川,2514,眉山,511400,眉山市
25,四川,2516,巴中,511900,巴中市
25,四川,2517,泸州,510500,泸州市
25,四川,2519,内江,511000,内江市
25,四川,2530,广安,511600,广安市
25,四川,2532,达州,511700,达州市
25,四川,2535,阿坝,513231,阿坝县
25,四川,2536,甘孜,513328,甘孜县
25,四川,2537,凉山,513400,凉山彝族自治州
26,天津,2601,天津,120000,天津市
27,西藏,2701,拉萨,540100,拉萨市
27,西藏,2705,那曲,542421,那曲县
27,西藏,2710,林芝,540400,林芝市
28,新疆,2801,乌鲁木齐,650100,乌鲁木齐市
28,新疆,2803,克拉玛依,650200,克拉玛依市
28,新疆,2821,博尔塔拉,652700,博尔塔拉蒙古自治州
28,新疆,2822,巴音郭楞,652800,巴音郭楞蒙古自治州
28,新疆,2823,伊犁,654000,伊犁哈萨克自治州
28,新疆,2828,喀什,653101,喀什市
28,新疆,2829,阿克苏,652901,阿克苏市
28,新疆,2830,和田,653201,和田市
28,新疆,2831,塔城,654201,塔城市
28,新疆,2832,吐鲁番,650400,吐鲁番市
28,新疆,2833,哈密,652201,哈密市
28,新疆,2834,阿勒泰,654301,阿勒泰市
29,云南,2901,昆明,530100,昆明市
29,云南,2902,玉溪,530400,玉溪市
29,云南,2903,曲靖,530300,曲靖市
29,云南,2907,保山,530500,保山市
29,云南,2911,临沧,530900,临沧市
29,云南,2914,文山,532601,文山市
29,云南,2915,西双版纳,532800,西双版纳傣族自治州
29,云南,2918,昭通,530600,昭通市
29,云南,2922,丽江,530700,丽江市
29,云南,2923,红河,532529,红河县
29,云南,2925,德宏,533100,德宏傣族景颇族自治州
29,云南,2927,怒江,533300,怒江傈僳族自治州
29,云南,2928,迪庆,533400,迪庆藏族自治州
29,云南,2929,普洱,530800,普洱市
30,浙江,3001,杭州,330100,杭州市
30,浙江,3002,宁波,330200,宁波市
30,浙江,3003,温州,330300,温州市
30,浙江,3005,嘉兴,330400,嘉兴市
30,浙江,3006,金华,330700,金华市
30,浙江,3009,丽水,331100,丽水市
30,浙江,3011,湖州,330500,湖州市
30,浙江,3012,衢州,330800,衢州市
30,浙江,3015,台州,331000,台州市
30,浙江,3016,绍兴,330600,绍兴市
30,浙江,3020,舟山,330900,舟山市
31,重庆,3101,重庆,500000,重庆市
28,新疆,3203,阿拉尔,659002,阿拉尔市
27,西藏,3204,阿里,542500,阿里地区
8,海南,3205,白沙,469025,白沙黎族自治县
8,海南,3206,保亭,469029,保亭黎族苗族自治县
28,新疆,3207,北屯,659005,北屯市
27,西藏,3208,昌都,540300,昌都市
8,海南,3209,昌江,469026,昌江黎族自治县
8,海南,3210,澄迈,469023,澄迈县
