provinceID,province,cityID,city,areaID,area,cityLevelID,cityLevel,cigCityID,cigCityName,adcode,adname,longitude,latitude
9,河北,909,沧州,2,华北,3,三线城市,909,沧州,130900,沧州市,116.857461,38.310582
9,河北,910,保定,2,华北,2,二线城市,910,保定,130600,保定市,115.482331,38.867657
9,河北,911,张家口,2,华北,3,三线城市,911,张家口,130700,张家口市,114.884091,40.811901
9,河北,912,承德,2,华北,4,四线城市,912,承德,130800,承德市,117.939152,40.976204
10,河南,1001,郑州,5,华中,2,二线城市,1001,郑州,410100,郑州市,113.665412,34.757975
10,河南,1002,洛阳,5,华中,3,三线城市,1002,洛阳,410300,洛阳市,112.434468,34.663041
10,河南,1003,周口,5,华中,4,四线城市,1003,周口,411600,周口市,114.649653,33.620357
10,河南,1004,信阳,5,华中,4,四线城市,1004,信阳,411500,信阳市,114.075031,32.123274
10,河南,1005,新乡,5,华中,3,三线城市,1005,新乡,410700,新乡市,113.883991,35.302616
10,河南,1006,商丘,5,华中,3,三线城市,1006,商丘,411400,商丘市,115.650497,34.437054
10,河南,1007,三门峡,5,华中,4,四线城市,1007,三门峡,411200,三门峡市,111.194099,34.777338
10,河南,1008,濮阳,5,华中,4,四线城市,1008,濮阳,410900,濮阳市,115.041299,35.768234
10,河南,1009,南阳,5,华中,3,三线城市,1009,南阳,411300,南阳市,112.540918,32.999082
10,河南,1010,漯河,5,华中,5,五线城市,1010,漯河,411100,漯河市,114.026405,33.575855
10,河南,1011,焦作,5,华中,4,四线城市,1011,焦作,410800,焦作市,113.238266,35.23904
10,河南,1013,开封,5,华中,4,四线城市,1013,开封,410200,开封市,114.341447,34.797049
10,河南,1014,安阳,5,华中,4,四线城市,1014,安阳,410500,安阳市,114.352482,36.103442
21,山东,1015,德州,3,华东,3,三线城市,1015,德州,371400,德州市,116.307428,37.453968
10,河南,1016,鹤壁,5,华中,5,五线城市,1016,鹤壁,410600,鹤壁市,114.295444,35.748236
10,河南,1018,平顶山,5,华中,4,四线城市,1018,平顶山,410400,平顶山市,113.307718,33.735241
10,河南,1021,驻马店,5,华中,4,四线城市,1021,驻马店,411700,驻马店市,114.024736,32.980169
10,河南,1023,许昌,5,华中,4,四线城市,1023,许昌,411000,许昌市,113.826063,34.022956
11,黑龙江,1101,哈尔滨,1,东北,2,二线城市,1101,哈尔滨,230100,哈尔滨市,126.642464,45.756967
11,黑龙江,1102,大庆,1,东北,3,三线城市,1102,大庆,230600,大庆市,125.11272,46.590734
11,黑龙江,1103,齐齐哈尔,1,东北,4,四线城市,1103,齐齐哈尔,230200,齐齐哈尔市,123.95792,47.342081
11,黑龙江,1104,鹤岗,1,东北,5,五线城市,1104,鹤岗,230400,鹤岗市,130.277487,47.332085
11,黑龙江,1106,佳木斯,1,东北,4,四线城市,1106,佳木斯,230800,佳木斯市,130.361634,46.809606
11,黑龙江,1107,鸡西,1,东北,5,五线城市,1107,鸡西,230300,鸡西市,130.975966,45.300046
11,黑龙江,1108,牡丹江,1,东北,4,四线城市,1108,牡丹江,231000,牡丹江市,129.618602,44.582962
11,黑龙江,1109,七台河,1,东北,5,五线城市,1109,七台河,230900,七台河市,131.015584,45.771266
11,黑龙江,1112,伊春,1,东北,5,五线城市,1112,伊春,230700,伊春市,128.899396,47.724775
11,黑龙江,1113,黑河,1,东北,5,五线城市,1113,黑河,231100,黑河市,127.499023,50.249585
11,黑龙江,1123,双鸭山,1,东北,5,五线城市,1123,双鸭山,230500,双鸭山市,131.157304,46.643442
11,黑龙江,1131,绥化,1,东北,4,四线城市,1131,绥化,231200,绥化市,126.99293,46.637393
11,黑龙江,1136,大兴安岭,1,东北,5,五线城市,1136,大兴安岭,232700,大兴安岭地区,124.711526,52.335262
12,湖北,1201,武汉,5,华中,2,二线城市,1201,武汉,420100,武汉市,114.298572,30.584355
12,湖北,1202,十堰,5,华中,4,四线城市,1202,十堰,420300,十堰市,110.787916,32.646907
12,湖北,1203,襄阳,5,华中,3,三线城市,1203,襄阳,420600,襄阳市,112.144146,32.042426
12,湖北,1204,随州,5,华中,5,五线城市,1204,随州,421300,随州市,113.37377,31.717497
12,湖北,1207,宜昌,5,华中,3,三线城市,1207,宜昌,420500,宜昌市,111.290843,30.702636
12,湖北,1208,黄石,5,华中,4,四线城市,1208,黄石,420200,黄石市,115.077048,30.220074
12,湖北,1209,荆门,5,华中,4,四线城市,1209,荆门,420800,荆门市,112.204251,31.03542
12,湖北,1210,荆州,5,华中,4,四线城市,1210,荆州,421000,荆州市,112.23813,30.326857
12,湖北,1216,鄂州,5,华中,5,五线城市,1216,鄂州,420700,鄂州市,114.890593,30.396536
12,湖北,1217,咸宁,5,华中,5,五线城市,1217,咸宁,421200,咸宁市,114.328963,29.832798
12,湖北,1229,孝感,5,华中,4,四线城市,1229,孝感,420900,孝感市,113.926655,30.926423
12,湖北,1236,黄冈,5,华中,4,四线城市,1236,黄冈,421100,黄冈市,114.879365,30.447711
13,湖南,1301,长沙,5,华中,2,二线城市,1301,长沙,430100,长沙市,112.982279,28.19409
13,湖南,1302,郴州,5,华中,4,四线城市,1302,郴州,431000,郴州市,113.032067,25.793589
13,湖南,1303,常德,5,华中,4,四线城市,1303,常德,430700,常德市,111.691347,29.040225
13,湖南,1304,衡阳,5,华中,4,四线城市,1304,衡阳,430400,衡阳市,112.607693,26.900358
13,湖南,1305,怀化,5,华中,4,四线城市,1305,怀化,431200,怀化市,109.97824,27.550082
13,湖南,1306,娄底,5,华中,4,四线城市,1306,娄底,431300,娄底市,112.008497,27.728136
13,湖南,1307,株洲,5,华中,4,四线城市,1307,株洲,430200,株洲市,113.151737,27.835806
13,湖南,1308,岳阳,5,华中,4,四线城市,1308,岳阳,430600,岳阳市,113.132855,29.37029
13,湖南,1309,湘潭,5,华中,4,四线城市,1309,湘潭,430300,湘潭市,112.944052,27.82973
13,湖南,1310,邵阳,5,华中,4,四线城市,1310,邵阳,430500,邵阳市,111.46923,27.237842
13,湖南,1312,永州,5,华中,4,四线城市,1312,永州,431100,永州市,111.608019,26.434516
13,湖南,1313,益阳,5,华中,4,四线城市,1313,益阳,430900,益阳市,112.355042,28.570066
13,湖南,1315,张家界,5,华中,5,五线城市,1315,张家界,430800,张家界市,110.479921,29.127401
13,湖南,1333,湘西,5,华中,5,五线城市,1333,湘西,433100,湘西土家族苗族自治州,109.739735,28.314296
14,吉林,1401,长春,1,东北,2,二线城市,1401,长春,220100,长春市,125.3245,43.886841
14,吉林,1402,吉林,1,东北,3,三线城市,1402,吉林,220000,吉林省,125.3245,43.886841
